Season,Lg,Team,W,L,W/L%,Finish,SRS,Pace,Rel_Pace,ORtg,Rel_ORtg,DRtg,Rel_DRtg,Playoffs,Coaches,Top WS
1976,NBA,Seattle SuperSonics,40,42,0.488,4,,106.8,0.3,96.7,,98.2,,,B. Russell (40,F. Brown (6.1)
1975,NBA,Seattle SuperSonics*,43,39,0.524,2,,107.7,2.2,98.3,0,98.6,0.3,Lost W. Conf. Semis,B. Russell (43,F. Brown (8.8)
1974,NBA,Seattle SuperSonics*,43,39,0.524,2,,105.5,1,96.7,,97.7,0,Lost W. Conf. Semis,B. Russell (43,F. Brown (7.9)
1973,NBA,Seattle SuperSonics,36,46,0.439,3,,110.2,2.4,96.8,,99.1,1.4,,B. Russell (36,S. Haywood (9.7)
1972,NBA,Seattle SuperSonics,26,56,0.317,4,,110,,93.8,,99.1,2.3,,T. Nissalke (13,S. Haywood (10.2)
1971,NBA,Seattle SuperSonics,47,35,0.573,3,0.86,110.5,,98.5,0.6,98.1,0.2,,L. Wilkens (47,L. Wilkens (9.6)
1970,NBA,Seattle SuperSonics,38,44,0.463,4,,116.5,1.4,98.4,1.2,100.1,2.9,,L. Wilkens (38,D. Snyder (10.0)
1969,NBA,Seattle SuperSonics,36,46,0.439,5,,116.4,,100,1,102.1,3.1,,L. Wilkens (36,D. Snyder (6.0)
1968,NBA,Seattle SuperSonics,30,52,0.366,6,,117.4,0.5,94.7,,98.8,3.3,,A. Bianchi (30,L. Wilkens (9.0)
1967,NBA,Seattle SuperSonics,23,59,0.28,5,,123.9,4.1,95.4,,100.6,3.8,,A. Bianchi (23,B. Rule (6.4)
2017,NBA,Denver Nuggets,19,16,0.543,3,1.53,96.3,,110.5,2.7,108.9,1.1,,M. Malone (19,N. Jokic (3.8)
2016,NBA,Denver Nuggets,40,42,0.488,4,0.7,98.3,1.9,113.2,4.4,112.7,3.9,,M. Malone (40,N. Jokic (9.7)
2015,NBA,Denver Nuggets,33,49,0.402,4,,95.7,,105.6,,108.9,2.5,,M. Malone (33,N. Jokic (6.7)
2014,NBA,Denver Nuggets,30,52,0.366,4,,96.1,2.2,104.5,,108.2,2.6,,B. Shaw (20,T. Lawson (7.0)
2013,NBA,Denver Nuggets,36,46,0.439,4,,98.1,4.2,106,,108.2,1.5,,B. Shaw (36,K. Faried (6.5)
2012,NBA,Denver Nuggets*,57,25,0.695,2,5.37,95.1,3.1,110.4,4.5,105.1,,Lost W. Conf. 1st Rnd.,G. Karl (57,K. Faried (7.8)
2011,NBA,Denver Nuggets*,38,28,0.576,2,3.16,94.2,2.9,109.2,4.6,106.2,1.6,Lost W. Conf. 1st Rnd.,G. Karl (38,T. Lawson (6.9)
2010,NBA,Denver Nuggets*,50,32,0.61,2,4.81,95.6,3.5,112.3,5,107.3,0,Lost W. Conf. 1st Rnd.,G. Karl (50,N. Hilario (9.6)
2009,NBA,Denver Nuggets*,53,29,0.646,1,4.15,94.8,2.1,111.8,4.2,107.5,,Lost W. Conf. 1st Rnd.,G. Karl (53,N. Hilario (10.8)
2008,NBA,Denver Nuggets*,54,28,0.659,1,3.13,94.3,2.6,110.4,2.1,106.8,,Lost W. Conf. Finals,G. Karl (54,C. Billups (9.9)
2007,NBA,Denver Nuggets*,50,32,0.61,2,3.74,99.7,7.3,110,2.5,106.3,,Lost W. Conf. 1st Rnd.,G. Karl (50,A. Iverson (11.6)
2006,NBA,Denver Nuggets*,45,37,0.549,2,1.69,97.4,5.5,107.6,1.1,105.9,,Lost W. Conf. 1st Rnd.,G. Karl (45,M. Camby (7.6)
2005,NBA,Denver Nuggets*,44,38,0.537,1,0.36,93.9,3.4,105.5,,105.2,,Lost W. Conf. 1st Rnd.,G. Karl (44,C. Anthony (9.4)
2004,NBA,Denver Nuggets*,49,33,0.598,2,2.23,93.5,2.6,106,,103.9,,Lost W. Conf. 1st Rnd.,J. Bzdelik (13,A. Miller (7.0)
2003,NBA,Denver Nuggets*,43,39,0.524,6,1.65,93.3,3.2,103.9,1,102.7,,Lost W. Conf. 1st Rnd.,J. Bzdelik (43,A. Miller (8.8)
2002,NBA,Denver Nuggets,17,65,0.207,7,,91,0,92.2,,101.3,,,J. Bzdelik (17,J. Howard (6.0)
2001,NBA,Denver Nuggets,27,55,0.329,6,,90.4,,101.4,,107.8,3.3,,D. Issel (9,R. LaFrentz (4.5)
2000,NBA,Denver Nuggets,40,42,0.488,6,,92.6,1.3,103.7,0.7,106.3,3.3,,D. Issel (40,A. McDyess (7.8)
1999,NBA,Denver Nuggets,35,47,0.427,5,,94.7,1.6,103.5,,105.8,1.7,,D. Issel (35,A. McDyess (6.2)
1998,NBA,Denver Nuggets,14,36,0.28,6,,90.5,1.6,103.1,0.9,110.4,8.2,,M. D'Antoni (14,D. Fortson (4.4)
1997,NBA,Denver Nuggets,11,71,0.134,7,,89.7,,99,,112.1,7.1,,B. Hanzlik (11,A. Goldwire (3.0)
1996,NBA,Denver Nuggets,21,61,0.256,5,,92.4,2.3,104.5,,111.2,4.5,,B. Bickerstaff (4,E. Johnson (5.2)
1995,NBA,Denver Nuggets,35,47,0.427,4,,92.2,0.4,105.2,,108.1,0.5,,B. Bickerstaff (35,D. Mutombo (7.6)
1994,NBA,Denver Nuggets*,41,41,0.5,4,0.96,91.5,,109.1,0.8,108.2,,Lost W. Conf. 1st Rnd.,D. Issel (18,D. Mutombo (8.7)
1993,NBA,Denver Nuggets*,42,40,0.512,4,1.54,96.1,1,103.9,,102.3,,Lost W. Conf. Semis,D. Issel (42,D. Mutombo (9.4)
1992,NBA,Denver Nuggets,36,46,0.439,4,,99.8,3,104.6,,106.3,,,D. Issel (36,D. Mutombo (8.8)
1991,NBA,Denver Nuggets,24,58,0.293,4,,98.6,2,100.7,,108.6,0.4,,P. Westhead (24,R. Williams (6.6)
1990,NBA,Denver Nuggets,20,62,0.244,7,,113.7,15.9,105.2,,114.7,6.8,,P. Westhead (20,M. Adams (6.3)
1989,NBA,Denver Nuggets*,43,39,0.524,4,1.56,105.4,7.1,108,,106.7,,Lost W. Conf. 1st Rnd.,D. Moe (43,F. Lever (8.8)
1988,NBA,Denver Nuggets*,44,38,0.537,3,0.91,107.5,6.9,108.6,0.8,107.1,,Lost W. Conf. 1st Rnd.,D. Moe (44,F. Lever (9.2)
1987,NBA,Denver Nuggets*,54,28,0.659,1,3.32,105.5,5.9,110.1,2.1,106.3,,Lost W. Conf. Semis,D. Moe (54,F. Lever (10.4)
1986,NBA,Denver Nuggets*,37,45,0.451,4,,106.2,5.4,109.3,1,110.2,1.9,Lost W. Conf. 1st Rnd.,D. Moe (37,F. Lever (9.7)
1985,NBA,Denver Nuggets*,47,35,0.573,2,0.89,106.7,4.6,107.1,,105.9,,Lost W. Conf. Semis,D. Moe (47,A. English (9.8)
1984,NBA,Denver Nuggets*,52,30,0.634,1,2.05,107.6,5.5,110.7,2.8,108.4,0.5,Lost W. Conf. Finals,D. Moe (52,C. Natt (10.2)
1983,NBA,Denver Nuggets*,38,44,0.463,3,,110.5,9.1,111.3,3.7,112.3,4.7,Lost W. Conf. 1st Rnd.,D. Moe (38,K. Vandeweghe (10.3)
1982,NBA,Denver Nuggets*,45,37,0.549,2,0.27,112.1,9,109.7,5,109.1,4.4,Lost W. Conf. Semis,D. Moe (45,K. Vandeweghe (11.0)
1981,NBA,Denver Nuggets*,46,36,0.561,2,0.13,109.8,8.9,114.3,7.4,113.9,7,Lost W. Conf. 1st Rnd.,D. Moe (46,D. Issel (9.8)
1980,NBA,Denver Nuggets,37,45,0.451,4,,109.8,8,109.4,3.9,109.8,4.3,,D. Walsh (11,D. Issel (10.5)
1979,NBA,Denver Nuggets,30,52,0.366,3,,103.9,0.8,103.4,,107.6,2.3,,D. Walsh (30,D. Issel (11.5)
1978,NBA,Denver Nuggets*,47,35,0.573,2,1.24,105.9,0.1,104.4,0.6,103.2,,Lost W. Conf. 1st Rnd.,L. Brown (28,D. Issel (9.8)
1977,NBA,Denver Nuggets*,48,34,0.585,1,0.8,108.5,1.8,102.3,1.4,101.5,0.6,Lost W. Conf. Finals,L. Brown (48,D. Thompson (12.7)
1976,NBA,Denver Nuggets*,50,32,0.61,1,4.95,111.2,4.7,100.7,1.2,96.1,,Lost W. Conf. Semis,L. Brown (50,B. Jones (11.0)
1975,ABA,Denver Nuggets*,60,24,0.714,1,5.45,111.2,4.3,108.7,4.6,103.4,,Lost Finals,L. Brown (60,D. Issel (12.5)
1974,ABA,Denver Nuggets*,65,19,0.774,1,6.63,107.6,4.5,109.4,4.7,102.7,,Lost W. Div. Finals,L. Brown (65,B. Jones (10.2)
1973,ABA,Denver Rockets*,37,47,0.44,5,,103.2,0.6,103.1,0.1,103.5,0.5,Lost W. Div. Tiebreaker,A. Hannum (37,D. Robisch (9.1)
1972,ABA,Denver Rockets*,47,37,0.56,3,2.8,106.8,,103.1,1.3,100.1,,Lost W. Div. Semis,A. Hannum (47,W. Jabali (10.7)
1971,ABA,Denver Rockets*,34,50,0.405,4,,112.8,0.9,98.4,,99.5,,Lost W. Div. Semis,A. Hannum (34,R. Simpson (7.2)
1970,ABA,Denver Rockets*,30,54,0.357,5,,113.9,2.8,102.8,,106.3,1.3,Lost W. Div. Tiebreaker,J. Belmont (3,L. Cannon (7.2)
1969,ABA,Denver Rockets*,51,33,0.607,1,4.32,107.6,,106.2,3.5,102.2,,Lost W. Div. Finals,J. McLendon (9,S. Haywood (17.1)
1968,ABA,Denver Rockets*,44,34,0.564,3,1.41,106.9,,106.4,2.4,105,1,Lost W. Div. Semis,B. Bass (44,L. Jones (10.9)
1967,ABA,Denver Rockets*,45,33,0.577,3,3.53,103,,102,0.7,97.9,,Lost W. Div. Semis,B. Bass (45,L. Jones (11.8)
2017,NBA,Portland Trail Blazers,18,16,0.529,4,0.79,96.6,,105.3,,103.8,,,T. Stotts (18,D. Lillard (4.6)
2016,NBA,Portland Trail Blazers*,41,41,0.5,3,,96.7,0.3,110.3,1.5,110.8,2,Lost W. Conf. 1st Rnd.,T. Stotts (41,D. Lillard (10.4)
2015,NBA,Portland Trail Blazers*,44,38,0.537,2,0.98,96,0.2,108.8,2.4,108,1.6,Lost W. Conf. Semis,T. Stotts (44,D. Lillard (9.2)
2014,NBA,Portland Trail Blazers*,51,31,0.622,1,4.41,94.2,0.3,108.2,2.6,103.7,,Lost W. Conf. 1st Rnd.,T. Stotts (51,D. Lillard (10.6)
2013,NBA,Portland Trail Blazers*,54,28,0.659,2,4.44,94.9,1,111.5,4.8,107.4,0.7,Lost W. Conf. Semis,T. Stotts (54,D. Lillard (9.6)
2012,NBA,Portland Trail Blazers,33,49,0.402,4,,91.4,,105.8,,109.2,3.3,,T. Stotts (33,L. Aldridge (7.2)
2011,NBA,Portland Trail Blazers,28,38,0.424,4,,91.2,,105.7,1.1,106.4,1.8,,N. McMillan (20,L. Aldridge (7.0)
2010,NBA,Portland Trail Blazers*,48,34,0.585,3,1.85,87.9,,108.8,1.5,107.1,,Lost W. Conf. 1st Rnd.,N. McMillan (48,L. Aldridge (11.1)
2009,NBA,Portland Trail Blazers*,50,32,0.61,3,3.18,87.7,,110.8,3.2,107.1,,Lost W. Conf. 1st Rnd.,N. McMillan (50,B. Roy (9.1)
2008,NBA,Portland Trail Blazers*,54,28,0.659,2,5,86.6,,113.9,5.6,107.8,,Lost W. Conf. 1st Rnd.,N. McMillan (54,B. Roy (13.5)
2007,NBA,Portland Trail Blazers,41,41,0.5,3,,87.9,,107.3,,108.4,0.9,,N. McMillan (41,B. Roy (8.0)
2006,NBA,Portland Trail Blazers,32,50,0.39,3,,88.3,,105.1,,109.9,3.4,,N. McMillan (32,Z. Randolph (5.7)
2005,NBA,Portland Trail Blazers,21,61,0.256,5,,87.6,,101.1,,111.9,5.7,,N. McMillan (21,S. Blake (2.8)
2004,NBA,Portland Trail Blazers,27,55,0.329,4,,89.8,,103.2,,107.7,1.6,,M. Cheeks (22,D. Stoudamire (5.7)
2003,NBA,Portland Trail Blazers,41,41,0.5,3,,86.2,,103.7,0.8,105.1,2.2,,M. Cheeks (41,Z. Randolph (7.1)
2002,NBA,Portland Trail Blazers*,50,32,0.61,3,2.97,89.4,,105.5,1.9,102.6,,Lost W. Conf. 1st Rnd.,M. Cheeks (50,R. Wallace (8.5)
2001,NBA,Portland Trail Blazers*,49,33,0.598,3,3.21,89.3,,107.4,2.9,104,,Lost W. Conf. 1st Rnd.,M. Cheeks (49,R. Wallace (9.7)
2000,NBA,Portland Trail Blazers*,50,32,0.61,4,4.52,89.1,,106.5,3.5,101.8,,Lost W. Conf. 1st Rnd.,M. Dunleavy (50,R. Wallace (11.0)
1999,NBA,Portland Trail Blazers*,59,23,0.72,2,6.36,89.9,,107.9,3.8,100.8,,Lost W. Conf. Finals,M. Dunleavy (59,S. Smith (10.4)
1998,NBA,Portland Trail Blazers*,35,15,0.7,1,5.67,89.2,0.3,104.8,2.6,97.7,,Lost W. Conf. Finals,M. Dunleavy (35,B. Grant (5.9)
1997,NBA,Portland Trail Blazers*,46,36,0.561,4,0.83,90,,104,,102.4,,Lost W. Conf. 1st Rnd.,M. Dunleavy (46,A. Sabonis (9.7)
1996,NBA,Portland Trail Blazers*,49,33,0.598,3,3.56,90.9,0.8,107.9,1.2,103.3,,Lost W. Conf. 1st Rnd.,P. Carlesimo (49,K. Anderson (12.4)
1995,NBA,Portland Trail Blazers*,44,38,0.537,3,2.21,92.6,0.8,106,,103.5,,Lost W. Conf. 1st Rnd.,P. Carlesimo (44,A. Sabonis (8.4)
1994,NBA,Portland Trail Blazers*,44,38,0.537,4,3.8,93.8,0.9,109.7,1.4,105.7,,Lost W. Conf. 1st Rnd.,P. Carlesimo (44,C. Robinson (8.7)
1993,NBA,Portland Trail Blazers*,47,35,0.573,4,2.6,98.8,3.7,108.1,1.8,105.5,,Lost W. Conf. 1st Rnd.,R. Adelman (47,R. Strickland (9.3)
1992,NBA,Portland Trail Blazers*,51,31,0.622,3,2.92,99.1,2.3,108.3,0.3,105.2,,Lost W. Conf. 1st Rnd.,R. Adelman (51,T. Porter (8.8)
1991,NBA,Portland Trail Blazers*,57,25,0.695,1,6.94,99,2.4,111.4,3.2,104.2,,Lost Finals,R. Adelman (57,C. Drexler (12.8)
1990,NBA,Portland Trail Blazers*,63,19,0.768,1,8.47,100.5,2.7,112.8,4.9,104.3,,Lost W. Conf. Finals,R. Adelman (63,T. Porter (13.0)
1989,NBA,Portland Trail Blazers*,59,23,0.72,2,6.48,102.3,4,110.5,2.4,104.4,,Lost Finals,R. Adelman (59,T. Porter (11.7)
1988,NBA,Portland Trail Blazers*,39,43,0.476,5,0.92,103.9,3.3,109.4,1.6,108,0.2,Lost W. Conf. 1st Rnd.,M. Schuler (25,C. Drexler (12.6)
1987,NBA,Portland Trail Blazers*,53,29,0.646,2,3.59,103.6,4,111.8,3.8,107.4,,Lost W. Conf. 1st Rnd.,M. Schuler (53,C. Drexler (13.2)
1986,NBA,Portland Trail Blazers*,49,33,0.598,2,2.57,105,4.2,111.5,3.2,108.6,0.3,Lost W. Conf. 1st Rnd.,M. Schuler (49,K. Vandeweghe (10.8)
1985,NBA,Portland Trail Blazers*,40,42,0.488,2,0.61,104.5,2.4,109.2,2,108.2,1,Lost W. Conf. 1st Rnd.,J. Ramsay (40,K. Vandeweghe (9.9)
1984,NBA,Portland Trail Blazers*,42,40,0.512,2,2.8,103.5,1.4,110.4,2.5,107.2,,Lost W. Conf. Semis,J. Ramsay (42,K. Vandeweghe (8.4)
1983,NBA,Portland Trail Blazers*,48,34,0.585,2,3.13,101.1,,111.2,3.6,107.7,0.1,Lost W. Conf. 1st Rnd.,J. Ramsay (48,J. Paxson (9.5)
1982,NBA,Portland Trail Blazers*,46,36,0.561,4,1.88,101,,106,1.3,103.9,,Lost W. Conf. Semis,J. Ramsay (46,J. Paxson (10.2)
1981,NBA,Portland Trail Blazers,42,40,0.512,5,0.39,100.5,,108.8,1.9,108.2,1.3,,J. Ramsay (42,C. Natt (9.3)
1980,NBA,Portland Trail Blazers*,45,37,0.549,3,0.52,103,1.2,106.5,1,105.7,0.2,Lost W. Conf. 1st Rnd.,J. Ramsay (45,J. Paxson (7.7)
1979,NBA,Portland Trail Blazers*,38,44,0.463,4,,98.6,,103.4,,104.3,,Lost W. Conf. 1st Rnd.,J. Ramsay (38,K. Washington (9.1)
1978,NBA,Portland Trail Blazers*,45,37,0.549,4,1.12,103.4,,104.3,0.5,103.1,,Lost W. Conf. 1st Rnd.,J. Ramsay (45,T. Owens (10.4)
1977,NBA,Portland Trail Blazers*,58,24,0.707,1,5.92,104.2,,103.1,2.2,97.2,,Lost W. Conf. Semis,J. Ramsay (58,B. Walton (8.4)
1976,NBA,Portland Trail Blazers*,49,33,0.598,2,5.39,108,1.5,103.2,3.7,98,,Won Finals,J. Ramsay (49,B. Walton (10.2)
1975,NBA,Portland Trail Blazers,37,45,0.451,5,,107.7,2.2,96.4,,97.6,,,L. Wilkens (37,S. Wicks (7.1)
1974,NBA,Portland Trail Blazers,38,44,0.463,3,0.27,104.7,0.2,98.1,0.4,97.7,0,,L. Wilkens (38,S. Wicks (9.7)
1973,NBA,Portland Trail Blazers,27,55,0.329,5,,108.5,0.7,98.2,0.5,102.6,4.9,,J. McCloskey (27,S. Wicks (5.6)
1972,NBA,Portland Trail Blazers,21,61,0.256,5,,110.4,,95.9,,101.5,4.7,,J. McCloskey (21,S. Wicks (5.6)
1971,NBA,Portland Trail Blazers,18,64,0.22,5,,112.3,0.3,94.5,,103.1,5.2,,R. Todd (12,D. Schlueter (6.3)
1970,NBA,Portland Trail Blazers,29,53,0.354,5,,120.6,5.5,95.4,,99.1,1.9,,R. Todd (29,G. Petrie (6.2)
2017,NBA,Utah Jazz,15,21,0.417,5,0.53,94.9,,106.3,,106.8,,,Q. Snyder (15,D. Favors (3.0)
2016,NBA,Utah Jazz*,51,31,0.622,1,4,91.6,,109.6,0.8,105.3,,Lost W. Conf. Semis,Q. Snyder (51,R. Gobert (14.3)
2015,NBA,Utah Jazz,40,42,0.488,3,1.84,91,,105.9,,103.9,,,Q. Snyder (40,G. Hayward (8.9)
2014,NBA,Utah Jazz,38,44,0.463,3,0.71,90.4,,105.1,,104.9,,,Q. Snyder (38,R. Gobert (9.3)
2013,NBA,Utah Jazz,25,57,0.305,5,,91.4,,103.5,,111.3,4.6,,T. Corbin (25,D. Favors (5.1)
2012,NBA,Utah Jazz,43,39,0.524,3,0.3,90.9,,106.7,0.8,106.8,0.9,,T. Corbin (43,A. Jefferson (7.7)
2011,NBA,Utah Jazz*,36,30,0.545,3,0.92,91.4,0.1,106.8,2.2,106.1,1.5,Lost W. Conf. 1st Rnd.,T. Corbin (36,P. Millsap (7.8)
2010,NBA,Utah Jazz,39,43,0.476,4,,91,,108.1,0.8,110.1,2.8,,J. Sloan (31,A. Jefferson (7.8)
2009,NBA,Utah Jazz*,53,29,0.646,2,5.33,93.8,1.1,110.7,3.1,105,,Lost W. Conf. Semis,J. Sloan (53,D. Williams (10.3)
2008,NBA,Utah Jazz*,48,34,0.585,3,2.31,93.1,1.4,110.1,1.8,107.3,,Lost W. Conf. 1st Rnd.,J. Sloan (48,D. Williams (8.4)
2007,NBA,Utah Jazz*,54,28,0.659,1,6.86,93.2,0.8,113.8,6.3,106.5,,Lost W. Conf. Semis,J. Sloan (54,D. Williams (11.3)
2006,NBA,Utah Jazz*,51,31,0.622,1,3.06,91.6,,110.1,3.6,107,0.5,Lost W. Conf. Finals,J. Sloan (51,C. Boozer (9.9)
2005,NBA,Utah Jazz,41,41,0.5,2,,87.8,,104.1,,107,0.8,,J. Sloan (41,M. Okur (9.3)
2004,NBA,Utah Jazz,26,56,0.317,5,,88.4,,104.7,,109.5,3.4,,J. Sloan (26,M. Okur (7.0)
2003,NBA,Utah Jazz,42,40,0.512,7,,86.6,,101.9,,103.3,0.4,,J. Sloan (42,A. Kirilenko (11.6)
2002,NBA,Utah Jazz*,47,35,0.573,4,2.76,89.3,,105.5,1.9,102.8,,Lost W. Conf. 1st Rnd.,J. Sloan (47,K. Malone (11.1)
2001,NBA,Utah Jazz*,44,38,0.537,4,1.21,90.3,,105.6,1.1,104.6,0.1,Lost W. Conf. 1st Rnd.,J. Sloan (44,J. Stockton (10.7)
2000,NBA,Utah Jazz*,53,29,0.646,2,5,89.8,,107.6,4.6,102.4,,Lost W. Conf. 1st Rnd.,J. Sloan (53,K. Malone (13.1)
1999,NBA,Utah Jazz*,55,27,0.671,1,4.52,89.6,,107.3,3.2,102.3,,Lost W. Conf. Semis,J. Sloan (55,K. Malone (15.3)
1998,NBA,Utah Jazz*,37,13,0.74,2,5.54,87,,105.8,3.6,98.4,,Lost W. Conf. Semis,J. Sloan (37,K. Malone (9.6)
1997,NBA,Utah Jazz*,62,20,0.756,1,5.73,89.2,,112.7,7.7,105.4,0.4,Lost Finals,J. Sloan (62,K. Malone (16.4)
1996,NBA,Utah Jazz*,64,18,0.78,1,7.97,90,,113.6,6.9,104,,Lost Finals,J. Sloan (64,K. Malone (16.7)
1995,NBA,Utah Jazz*,55,27,0.671,2,6.25,90,,113.3,5.7,106.1,,Lost W. Conf. Finals,J. Sloan (55,K. Malone (15.1)
1994,NBA,Utah Jazz*,60,22,0.732,2,7.76,92.6,,114.3,6,105.7,,Lost W. Conf. 1st Rnd.,J. Sloan (60,J. Stockton (13.9)
1993,NBA,Utah Jazz*,53,29,0.646,3,4.1,93.1,,108.6,2.3,104.1,,Lost W. Conf. Finals,J. Sloan (53,K. Malone (13.4)
1992,NBA,Utah Jazz*,47,35,0.573,3,1.74,96.5,,109.6,1.6,107.4,,Lost W. Conf. 1st Rnd.,J. Sloan (47,K. Malone (15.4)
1991,NBA,Utah Jazz*,55,27,0.671,1,5.7,95.5,,112.2,4,105.6,,Lost W. Conf. Finals,J. Sloan (55,K. Malone (15.1)
1990,NBA,Utah Jazz*,54,28,0.659,2,3.18,95.3,,108.6,0.7,105.1,,Lost W. Conf. Semis,J. Sloan (54,K. Malone (15.5)
1989,NBA,Utah Jazz*,55,27,0.671,2,4.82,96.1,,110.3,2.2,105.4,,Lost W. Conf. 1st Rnd.,J. Sloan (55,K. Malone (15.9)
1988,NBA,Utah Jazz*,51,31,0.622,1,4.01,98,,106.6,,101.5,,Lost W. Conf. 1st Rnd.,F. Layden (11,J. Stockton (15.6)
1987,NBA,Utah Jazz*,47,35,0.573,3,2.96,101.5,1.9,106.8,,103.1,,Lost W. Conf. Semis,F. Layden (47,J. Stockton (14.1)
1986,NBA,Utah Jazz*,44,38,0.537,2,0.04,103.2,2.4,104.1,,103.7,,Lost W. Conf. 1st Rnd.,F. Layden (44,K. Malone (6.9)
1985,NBA,Utah Jazz*,42,40,0.512,4,,103.3,1.2,104.2,,104.6,,Lost W. Conf. 1st Rnd.,F. Layden (42,A. Dantley (12.8)
1984,NBA,Utah Jazz*,41,41,0.5,4,,105.1,3,103.3,,103.4,,Lost W. Conf. Semis,F. Layden (41,A. Dantley (8.0)
1983,NBA,Utah Jazz*,45,37,0.549,1,0.81,104.9,3.5,109,1.4,108,0.4,Lost W. Conf. Semis,F. Layden (45,A. Dantley (14.6)
1982,NBA,Utah Jazz,30,52,0.366,5,,107.3,4.2,101.2,,105.1,0.4,,F. Layden (30,R. Green (6.6)
1981,NBA,Utah Jazz,25,57,0.305,6,,103.9,3,106.2,,111.7,4.8,,T. Nissalke (8,A. Dantley (12.6)
1980,NBA,Utah Jazz,28,54,0.341,5,,97.7,,103.4,,109.4,3.9,,T. Nissalke (28,A. Dantley (13.6)
1979,NBA,Utah Jazz,24,58,0.293,5,,97.6,,104.2,,110.4,5.1,,T. Nissalke (24,A. Dantley (10.5)
1978,NBA,New Orleans Jazz,26,56,0.317,6,,108.6,2.8,99.6,,105.4,1.6,,E. Baylor (26,R. Kelley (8.6)
1977,NBA,New Orleans Jazz,39,43,0.476,5,,108.3,1.6,98.9,,100.6,,,E. Baylor (39,T. Robinson (6.5)
1976,NBA,New Orleans Jazz,35,47,0.427,5,,107.2,0.7,97,,99.7,0.2,,B. Van Breda Kolff (14,P. Maravich (6.4)
1975,NBA,New Orleans Jazz,38,44,0.463,4,,106.7,1.2,96.6,,97.4,,,B. Van Breda Kolff (38,P. Maravich (7.1)
1974,NBA,New Orleans Jazz,23,59,0.28,5,,109.4,4.9,92.5,,99.7,2,,S. Robertson (1,P. Maravich (3.9)
2017,NBA,Cleveland Cavaliers,24,11,0.686,1,1.74,96.5,,113.9,6.1,110.9,3.1,,T. Lue (24,L. James (7.1)
2016,NBA,Cleveland Cavaliers*,51,31,0.622,1,2.87,96.2,,113.6,4.8,110.3,1.5,Lost Finals,T. Lue (51,L. James (12.9)
2015,NBA,Cleveland Cavaliers*,57,25,0.695,1,5.45,93.3,,110.9,4.5,104.5,,Won Finals,D. Blatt (30,L. James (13.6)
2014,NBA,Cleveland Cavaliers*,53,29,0.646,1,4.08,92.3,,111.1,5.5,106.3,0.7,Lost Finals,D. Blatt (53,K. Irving (10.4)
2013,NBA,Cleveland Cavaliers,33,49,0.402,3,,93.1,,104.2,,107.7,1,,M. Brown (33,K. Irving (6.7)
2012,NBA,Cleveland Cavaliers,24,58,0.293,5,,92.3,0.3,104.3,,109.4,3.5,,B. Scott (24,K. Irving (5.3)
2011,NBA,Cleveland Cavaliers,21,45,0.318,5,,91.3,0,101.1,,108.9,4.3,,B. Scott (21,K. Irving (4.1)
2010,NBA,Cleveland Cavaliers,19,63,0.232,5,,93,0.9,102.2,,111.8,4.5,,B. Scott (19,R. Sessions (4.4)
2009,NBA,Cleveland Cavaliers*,61,21,0.744,1,6.17,91.4,,111.2,3.6,104.1,,Lost E. Conf. Semis,M. Brown (61,L. James (18.5)
2008,NBA,Cleveland Cavaliers*,66,16,0.805,1,8.68,88.7,,112.4,4.1,102.4,,Lost E. Conf. Finals,M. Brown (66,L. James (20.3)
2007,NBA,Cleveland Cavaliers*,45,37,0.549,2,,90.2,,106,,106.4,,Lost E. Conf. Semis,M. Brown (45,L. James (15.2)
2006,NBA,Cleveland Cavaliers*,50,32,0.61,2,3.33,90.8,,105.5,,101.3,,Lost Finals,M. Brown (50,L. James (13.7)
2005,NBA,Cleveland Cavaliers*,50,32,0.61,2,2.17,89.8,,107.8,1.6,105.4,,Lost E. Conf. Semis,M. Brown (50,L. James (16.3)
2004,NBA,Cleveland Cavaliers,42,40,0.512,4,0.27,89.7,,106.6,0.5,105.7,,,P. Silas (34,L. James (14.3)
2003,NBA,Cleveland Cavaliers,35,47,0.427,5,,90.8,0.7,101.4,,104.2,1.3,,P. Silas (35,C. Boozer (9.4)
2002,NBA,Cleveland Cavaliers,17,65,0.207,8,,94,3,96.5,,106.7,3.1,,J. Lucas (8,C. Boozer (5.9)
2001,NBA,Cleveland Cavaliers,29,53,0.354,7,,90.3,,104.6,0.1,108.2,3.7,,J. Lucas (29,A. Miller (10.3)
2000,NBA,Cleveland Cavaliers,30,52,0.366,6,,91.2,,100.3,,104.9,1.9,,R. Wittman (30,C. Weatherspoon (8.6)
1999,NBA,Cleveland Cavaliers,32,50,0.39,6,,95.7,2.6,100.4,,104,,,R. Wittman (32,A. Miller (5.3)
1998,NBA,Cleveland Cavaliers,22,28,0.44,7,,86.4,,99.6,,101.6,,,M. Fratello (22,S. Kemp (6.3)
1997,NBA,Cleveland Cavaliers*,47,35,0.573,5,3.06,89.9,,102.2,,99.1,,Lost E. Conf. 1st Rnd.,M. Fratello (47,W. Person (10.3)
1996,NBA,Cleveland Cavaliers,42,40,0.512,5,2.32,82.9,,104.6,,102.4,,,M. Fratello (42,T. Brandon (10.8)
