Season,Lg,Team,W,L,W/L%,Finish,SRS,Pace,Rel_Pace,ORtg,Rel_ORtg,DRtg,Rel_DRtg,Playoffs,Coaches,Top WS
1963,NBA,Boston Celtics*,59,21,0.738,1,6.93,125,11.8,90.1,,83.8,,Won Finals,R. Auerbach (59,B. Russell (17.3)
1962,NBA,Boston Celtics*,58,22,0.725,1,6.38,127.3,12.3,93,,87.4,,Won Finals,R. Auerbach (58,B. Russell (13.5)
1961,NBA,Boston Celtics*,60,20,0.75,1,8.25,130.8,9.5,92.1,,85.1,,Won Finals,R. Auerbach (60,B. Russell (15.5)
1960,NBA,Boston Celtics*,57,22,0.722,1,4.94,134.4,10.9,88.7,,84.5,,Won Finals,R. Auerbach (57,B. Russell (13.0)
1959,NBA,Boston Celtics*,59,16,0.787,1,7.62,136.3,14,91,,84.9,,Won Finals,R. Auerbach (59,B. Russell (13.8)
1958,NBA,Boston Celtics*,52,20,0.722,1,5.84,128.7,16.7,89.5,,84.5,,Won Finals,R. Auerbach (52,B. Russell (12.9)
1957,NBA,Boston Celtics*,49,23,0.681,1,5.02,124.8,7.8,88,,83.6,,Lost Finals,R. Auerbach (49,B. Russell (11.3)
1956,NBA,Boston Celtics*,44,28,0.611,1,4.78,118,13.1,88.5,,84,,Won Finals,R. Auerbach (44,B. Sharman (10.4)
1955,NBA,Boston Celtics*,39,33,0.542,2,0.72,114.5,11.7,92.2,1.9,91.7,1.4,Lost E. Div. Semis,R. Auerbach (39,B. Sharman (8.8)
1954,NBA,Boston Celtics*,36,36,0.5,3,,108.6,10.5,93,3.2,93,3.2,Lost E. Div. Finals,R. Auerbach (36,E. Macauley (8.9)
1953,NBA,Boston Celtics*,42,30,0.583,3,1.97,93,9.4,92.5,5,90,2.5,Lost E. Div. Finals,R. Auerbach (42,E. Macauley (14.6)
1952,NBA,Boston Celtics*,46,25,0.648,3,1.94,94.7,14.2,91.7,3.7,89.3,1.6,Lost E. Div. Finals,R. Auerbach (46,E. Macauley (14.5)
1951,NBA,Boston Celtics*,39,27,0.591,2,3.6,100,14.2,90.4,3.5,86.4,,Lost E. Div. Semis,R. Auerbach (39,E. Macauley (13.8)
1950,NBA,Boston Celtics*,39,30,0.565,2,,95.9,10.4,87.3,2.2,87.6,2.5,Lost E. Div. Semis,R. Auerbach (39,E. Macauley (15.9)
1949,NBA,Boston Celtics,22,46,0.324,6,,,,,,,,,A. Julian (22,B. Kinney (4.8)
