YEAR,GP,MIN,"%FGA2PT","%FGA3PT","%PTS2PT","%PTS2PT MR","%PTS3PT","%PTSFBPS","%PTSFT","%PTSOFF TO","%PTSPITP","2FGM%AST","2FGM%UAS","3FGM%AST","3FGM%UAST","FGM%AST","FGM%UAST",TEAM
2020,72,48.3,59.1,40.9,49.5,8.4,36.2,10.5,14.3,15.8,41.1,47.8,52.2,74.6,25.4,56.6,43.4,Celtics
2019,72,48.4,61.4,38.6,50.5,8.5,33.2,13.4,16.3,15.5,42,49.1,50.9,70.7,29.3,55.7,44.3,Celtics
2011,66,48.3,80.6,19.4,65.3,27.2,18,13.1,16.8,17.7,38.1,62,38,90.9,9.1,66.5,33.5,Celtics
1998,50,48.6,81.8,18.2,66.4,22.2,17.6,14.8,16,19.8,44.2,53.2,46.8,92.3,7.7,59.1,40.9,Celtics
2021,82,48.2,64.1,35.9,54.1,13.4,30.5,12.2,15.5,13.9,40.7,54.1,45.9,76.4,23.6,60.2,39.8,Nets
2018,82,48.7,59.7,40.3,49,5.5,34.1,10.4,16.9,13.7,43.4,50.8,49.2,77.4,22.6,59.2,40.8,Nets
2017,82,48.4,58.9,41.1,47.9,6.8,35.7,10,16.3,13.3,41.1,50.7,49.3,84.4,15.6,61.9,38.1,Nets
2016,82,48.2,62.9,37.1,51.3,7.9,30.3,13.2,18.4,14.2,43.4,45.4,54.6,85.1,14.9,56.6,43.4,Nets
2015,82,48.2,78.2,21.8,64.4,17.6,19.7,11.6,15.9,15.2,46.8,53,47,84.4,15.6,58.3,41.7,Nets
2014,82,48.6,76,24,62.9,16.9,20.2,9.6,16.9,14.6,46,48.8,51.2,89.1,10.9,55.9,44.1,Nets
2013,82,48.5,69.9,30.1,55,16,26.3,9.4,18.7,18.9,39,49.1,50.9,88,12,58.5,41.5,Nets
2012,82,48.4,73.1,26.9,58.3,15.5,23.7,9.3,18,16.4,42.7,48.4,51.6,87.1,12.9,56.7,43.3,Nets
2010,82,48.8,79.9,20.1,63.7,22.3,17.8,12,18.5,14.2,41.4,55,45,80.8,19.2,59,41,Nets
2009,82,48.2,81.9,18.1,64.3,20.8,14.9,14,20.8,16.2,43.5,49.6,50.4,88.1,11.9,54.7,45.3,Nets
2008,82,48.4,73.5,26.5,56.5,18.6,24.3,11.3,19.2,15.5,37.9,47.8,52.2,84.2,15.8,55.9,44.1,Nets
2007,82,48.4,77.8,22.2,60,21.7,19,13.6,21,15.1,38.3,63.2,36.8,87.3,12.7,67.4,32.6,Nets
2006,82,48.5,73.7,26.3,57.6,20,22.8,13.6,19.6,17.1,37.5,60.9,39.1,91.6,8.4,67.4,32.6,Nets
2005,82,48.2,77.1,22.9,59.8,24.3,18.6,13.7,21.6,17.2,35.6,63.4,36.6,89.3,10.7,67.8,32.2,Nets
2004,82,48.5,81.3,18.7,61.8,27.8,17.4,11.7,20.7,19.3,34.1,59.7,40.3,89,11,64.4,35.6,Nets
2003,82,48.1,82.4,17.6,65.8,22.9,15.3,17.3,18.9,18.6,42.9,68.7,31.3,88.9,11.1,71.4,28.6,Nets
2002,82,48.2,84.2,15.8,65.5,22.2,13.3,19.6,21.3,19.2,43.3,61.7,38.3,89,11,64.9,35.1,Nets
2001,82,48.4,82.5,17.5,66.9,22.5,15.3,18.1,17.8,18.1,44.4,62,38,87.6,12.4,65.4,34.6,Nets
2000,82,48.1,83.5,16.5,64.1,22.5,14.3,12.8,21.6,18.4,41.6,54.3,45.7,79.8,20.2,57.6,42.4,Nets
1999,82,48.4,80,20,62.3,25.4,17.8,12.3,19.9,19.4,36.9,50.5,49.5,89.1,10.9,56.7,43.3,Nets
1997,82,48.5,86.5,13.5,67.2,26.2,11.4,14,21.4,20.1,41,51.2,48.8,90.3,9.7,55.2,44.8,Nets
1996,82,48.2,80.7,19.3,63,21.3,18.2,15,18.8,17.9,41.6,53.7,46.3,78.3,21.7,57.6,42.4,Nets
2020,72,48.3,58.7,41.3,48.9,7.4,35.8,12.1,15.3,13.3,41.5,53.6,46.4,79.5,20.5,62.1,37.9,Nets
2019,72,48.6,57.7,42.3,48.9,4.5,35.1,11.7,16,13.2,44.3,51.8,48.2,78.9,21.1,60.6,39.4,Nets
2011,66,48.2,72.2,27.8,57.1,21.2,24.8,11.9,18.1,17.2,36,51.9,48.1,78.9,21.1,58,42,Nets
1998,50,48.2,83.7,16.3,64.2,24.8,14.8,16.1,21.1,18.2,39.4,50.8,49.2,79.1,20.9,54.6,45.4,Nets
2021,82,48.5,58.2,41.8,50,5.5,36.3,14.1,13.7,16.1,44.6,55.9,44.1,85.7,14.3,65.6,34.4,Hornets
2018,82,48.4,62.2,37.8,51.1,8.9,32.3,10.6,16.6,14.5,42.2,49.4,50.6,77.7,22.3,57.8,42.2,Hornets
2017,82,48.2,68.6,31.4,53.5,13.1,27.9,8.6,18.7,14.9,40.4,48.3,51.7,75.6,24.4,55.4,44.6,Hornets
2016,82,48.4,66.5,33.5,52.8,14.7,28.7,9,18.5,14.2,38,54.5,45.5,79.5,20.5,61.1,38.9,Hornets
2015,82,48.4,65.2,34.8,51,14.7,30.9,10.7,18.1,15.4,36.3,48.2,51.8,84.2,15.8,58.6,41.4,Hornets
2014,82,48.5,77.4,22.6,62.6,23.8,19.3,9.7,18.1,14.2,38.8,52.1,47.9,79.3,20.7,56.8,43.2,Hornets
2013,82,48.5,78.1,21.9,61.9,20.2,19.5,10.5,18.6,14.8,41.7,53.9,46.1,87.4,12.6,59.7,40.3,Hornets
2012,82,48.3,79,21,61.5,20.1,18.4,16.8,20.2,15.5,41.3,50.7,49.3,83.8,16.2,56.2,43.8,Hornets
2010,82,48.3,81.1,18.9,64.8,20.8,15.4,12.8,19.8,15.9,44.1,56,44,86,14,60.1,39.9,Hornets
2009,82,48.5,78.9,21.1,61.4,16.1,17.7,14.9,21,18.5,45.3,52.6,47.4,86.1,13.9,58,42,Hornets
2008,82,48.6,78.7,21.3,61.9,19,19.1,10.8,19,18.4,42.9,53.9,46.1,93.9,6.1,60.7,39.3,Hornets
2007,82,48.5,78,22,61.1,19.6,19.9,12.6,19,16.5,41.5,52.6,47.4,88.8,11.2,59.1,40.9,Hornets
2006,82,48.8,80.7,19.3,63,22.6,17.3,9.9,19.7,17.1,40.4,56.5,43.5,92.1,7.9,62,38,Hornets
2005,82,48.5,81.6,18.4,63.8,23.2,16.2,13.5,20.1,19.9,40.6,52.7,47.3,89.3,10.7,58,42,Hornets
2004,82,48.5,87.2,12.8,68.3,29.2,12.4,11.2,19.2,17.6,39.2,57,43,90.3,9.7,60.6,39.4,Hornets
2001,82,48.2,84.9,15.1,66.2,25.9,13.5,13.5,20.4,16.1,40.2,58,42,81.2,18.8,60.8,39.2,Hornets
2000,82,48.5,84.9,15.1,65.3,28.3,13.5,14.7,21.2,16.8,37,65,35,88.5,11.5,67.9,32.1,Hornets
1999,82,48.2,84.7,15.3,64.3,25.2,12.6,15.3,23.1,17.8,39.1,66.1,33.9,90.9,9.1,68.9,31.1,Hornets
1997,82,48.2,85.8,14.2,66.2,24,13.1,14.6,20.7,17.4,42.2,62.2,37.8,89.9,10.1,65.4,34.6,Hornets
1996,82,48.3,78.2,21.8,59.1,20.6,21.9,11.1,19,16.9,38.5,62.7,37.3,87.6,12.4,67.6,32.4,Hornets
2020,72,48.2,57.8,42.2,48,6,37.5,12.4,14.5,16.2,42,58.9,41.1,83.1,16.9,67.2,32.8,Hornets
2011,66,48.2,83.1,16.9,67.3,26.8,13.7,14.7,19,16.4,40.5,58.4,41.6,75.7,24.3,60.5,39.5,Hornets
2019,65,48.5,60.1,39.9,49.1,3.9,35.2,11.3,15.7,15.7,45.2,56,44,80.3,19.7,63.9,36.1,Hornets
1998,50,48.6,80.2,19.8,60.4,23.9,17.3,13.5,22.3,18.4,36.6,62.4,37.6,87.7,12.3,66.4,33.6,Hornets
2021,82,48.1,66.8,33.2,55.7,14.7,28.6,11.4,15.7,14.7,41,47.6,52.4,85.2,14.8,57.2,42.8,Bulls
2018,82,48.5,70.5,29.5,58.6,10.2,26,11.5,15.4,14.5,48.4,46.5,53.5,83.8,16.2,55,45,Bulls
2017,82,48.4,65,35,53.6,13.1,32.2,11.4,14.1,14.6,40.6,51,49,84.8,15.2,60.7,39.3,Bulls
2016,82,48.2,74.4,25.6,60.4,18.3,22.2,13.4,17.5,15.2,42.1,51.3,48.7,87.5,12.5,58.4,41.6,Bulls
2015,82,48.5,75.6,24.4,60.3,20,23.4,10,16.2,13.1,40.3,51.5,48.5,88.5,11.5,59.1,40.9,Bulls
2014,82,48.5,73.1,26.9,57,16.3,23.4,10.9,19.6,13.6,40.7,52.5,47.5,84.2,15.8,59.3,40.7,Bulls
2013,82,48.6,77.8,22.2,60.8,21,19.8,10.5,19.3,16.4,39.8,61.1,38.9,85.4,14.6,65.4,34.6,Bulls
2012,82,48.4,81.1,18.9,64.9,22.2,17.5,10.9,17.6,16.1,42.7,61,39,83.9,16.1,64.5,35.5,Bulls
2010,82,48.4,78.5,21.5,62.6,20.1,19,13.7,18.4,16.1,42.5,54.8,45.2,86.3,13.7,60.1,39.9,Bulls
2009,82,48.5,84.4,15.6,68.3,26.7,13.2,14.5,18.5,14.7,41.5,51,49,88.4,11.6,55.3,44.7,Bulls
2008,82,48.6,81.1,18.9,62.9,25.8,17.7,14.7,19.5,16.7,37,50.5,49.5,81.7,18.3,55.4,44.6,Bulls
2007,82,48.3,81,19,63,26.3,17.8,11.5,19.2,16.6,36.7,55.6,44.4,87.3,12.7,60.6,39.4,Bulls
2006,82,48.2,81.4,18.6,63.4,27.2,17.8,12.4,18.9,19.3,36.1,56.2,43.8,81,19,60.1,39.9,Bulls
2005,82,48.5,78.1,21.9,60.9,24.9,20.9,9.9,18.1,16.7,36,55.2,44.8,81.3,18.8,60.1,39.9,Bulls
2004,82,48.4,78.3,21.7,60.4,21.4,19.8,10.5,19.8,17.8,39,56.9,43.1,80.6,19.4,61.2,38.8,Bulls
2003,82,48.4,81.4,18.6,64.4,25.9,17.5,11.6,18.1,16.9,38.5,61.4,38.6,79,21,64.1,35.9,Bulls
2002,82,48.6,85.2,14.8,67.9,21.5,13.4,12.9,18.7,15.8,46.4,56.2,43.8,84.8,15.2,59.6,40.4,Bulls
2001,82,48.3,86.6,13.4,68.5,31.3,12.3,12.7,19.3,16.6,37.1,61.7,38.3,89,11,64.6,35.4,Bulls
2000,82,48.4,85.2,14.8,66.6,27.5,13.7,11.7,19.6,17.7,39.1,63.4,36.6,89.4,10.6,66.5,33.5,Bulls
1999,82,48.3,83.3,16.7,64,22.6,14.7,8.7,21.3,17.2,41.5,60.3,39.7,86.8,13.2,63.8,36.2,Bulls
1997,82,48.4,85.9,14.1,69.4,29.2,11.8,13.6,18.8,18.4,40.2,61.1,38.9,86.5,13.5,63.7,36.3,Bulls
1996,82,48.1,79.7,20.3,65.1,29.6,18.6,12,16.3,18,35.6,62.1,37.9,82.6,17.4,65.4,34.6,Bulls
2020,72,48.3,61.7,38.3,53.5,8.9,34,10.4,12.5,13.1,44.6,54.9,45.1,83.8,16.2,63.5,36.5,Bulls
